date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:18	2135/2135	---M-Z	200	added ('OK')	image/svg+xml	etag:%22857-65fa6e7a-83fba4d3c5e25862;gz%22	https://html.themewant.com/hostie/assets/images/pricing/basic.svg	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/pricing/basic.svg	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:19	2799/2799	---M-Z	200	added ('OK')	image/svg+xml	etag:%22aef-65fa6e7a-87148f4054c15194;gz%22	https://html.themewant.com/hostie/assets/images/pricing/premium.svg	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/pricing/premium.svg	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:19	2664/2664	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a68-65fa6e7a-42eb4270a9fd0e24;gz%22	https://html.themewant.com/hostie/assets/images/pricing/business.svg	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/pricing/business.svg	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:19	2455/2455	---M-Z	200	added ('OK')	image/svg+xml	etag:%22997-65fa6e7a-cbbd887ceb53d228;gz%22	https://html.themewant.com/hostie/assets/images/pricing/cloud.svg	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/pricing/cloud.svg	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:20	172695/172695	---M--	200	added ('OK')	image/png	etag:%222a297-65fa6e7a-d1585ae3b6e8683d;;;%22	https://html.themewant.com/hostie/assets/images/feature/feature__image.png	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/feature/feature__image.png	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:20	8882/8882	---M--	200	added ('OK')	image/png	etag:%2222b2-65fa6e79-15d857cc7a494831;;;%22	https://html.themewant.com/hostie/assets/images/author/author__one.png	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/author/author__one.png	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:20	3447/3447	---M--	200	added ('OK')	image/png	etag:%22d77-65fa6e79-64d75254ec19c4e;;;%22	https://html.themewant.com/hostie/assets/images/author/author__two.png	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/author/author__two.png	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:20	5365/5365	---M--	200	added ('OK')	image/png	etag:%2214f5-65fa6e79-aa50234b6c170984;;;%22	https://html.themewant.com/hostie/assets/images/author/author__three.png	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/author/author__three.png	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:21	4562/4562	---M--	200	added ('OK')	image/png	etag:%2211d2-65fa6e79-49339075c64666c2;;;%22	https://html.themewant.com/hostie/assets/images/author/author__four.png	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/author/author__four.png	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:21	1606/1606	---M-Z	200	added ('OK')	image/svg+xml	etag:%22646-65fa6e79-129b96851429a9e8;gz%22	https://html.themewant.com/hostie/assets/images/brand/review-star.svg	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/brand/review-star.svg	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:21	8454/8454	---M-Z	200	added ('OK')	image/svg+xml	etag:%222106-65fa6e7a-8d4e1624bcd0bdb7;gz%22	https://html.themewant.com/hostie/assets/images/brand/trust-pilot.svg	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/brand/trust-pilot.svg	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:22	6472/6472	---M-Z	200	added ('OK')	image/svg+xml	etag:%221948-65fa6e79-9f99857947788682;gz%22	https://html.themewant.com/hostie/assets/images/brand/01.svg	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/brand/01.svg	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:22	6003/6003	---M-Z	200	added ('OK')	image/svg+xml	etag:%221773-65fa6e79-364af64d1db7cd99;gz%22	https://html.themewant.com/hostie/assets/images/brand/02.svg	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/brand/02.svg	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:22	2474/2474	---M-Z	200	added ('OK')	image/svg+xml	etag:%229aa-65fa6e79-afb3671c4dd3128b;gz%22	https://html.themewant.com/hostie/assets/images/brand/03.svg	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/brand/03.svg	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:22	4536/4536	---M-Z	200	added ('OK')	image/svg+xml	etag:%2211b8-65fa6e79-5a2705ccca8c60bb;gz%22	https://html.themewant.com/hostie/assets/images/brand/04.svg	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/brand/04.svg	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:23	932/932	---M-Z	200	added ('OK')	image/svg+xml	etag:%223a4-65fa6e79-d8f049aa9ee5abf0;gz%22	https://html.themewant.com/hostie/assets/images/brand/05.svg	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/brand/05.svg	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:23	3582/3582	---M-Z	200	added ('OK')	image/svg+xml	etag:%22dfe-65fa6e79-476fa8c8b7e779b2;gz%22	https://html.themewant.com/hostie/assets/images/brand/06.svg	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/brand/06.svg	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:23	6265/6265	---M-Z	200	added ('OK')	image/svg+xml	etag:%221879-65fa6e79-afe1f41457da0a75;gz%22	https://html.themewant.com/hostie/assets/images/brand/07.svg	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/brand/07.svg	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:24	932/932	---M-Z	200	added ('OK')	image/svg+xml	etag:%223a4-65fa6e79-673677258fa16f0;gz%22	https://html.themewant.com/hostie/assets/images/brand/08.svg	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/brand/08.svg	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:24	4596/4596	---M-Z	200	added ('OK')	image/svg+xml	etag:%2211f4-65fa6e7a-6f3e819519a6f902;gz%22	https://html.themewant.com/hostie/assets/images/logo/footer__two__logo.svg	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/logo/footer__two__logo.svg	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:24	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-650cb906-d8e718ed5d0574ad;gz%22	https://html.themewant.com/hostie/data-centers.html	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/data-centers.html	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:25	1578/1578	---M-Z	200	added ('OK')	image/svg+xml	etag:%2262a-65fa6e7a-ffb561841615c46d;gz%22	https://html.themewant.com/hostie/assets/images/payment/visa.svg	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/payment/visa.svg	(from https://html.themewant.com/hostie/shared-hosting.html)
12:32:25	40667/40667	---M-Z	200	added ('OK')	image/svg+xml	etag:%229edb-65fa6e7a-1e9237e527441f6c;gz%22	https://html.themewant.com/hostie/assets/images/payment/master-card.svg	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/payment/master-card.svg	(from https://html.themewant.com/hostie/shared-hosting.html)
